rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,The hero presents two equally prominent CTAs that split user focus and delay the path to a single product category.,"The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user focus and delay the path to a single product category, reducing click-through to a specific purchase path.","h1: Wildly Comfortable. Super Natural.; cta: Shop All (primary) + secondary links to Men/Women; notes: Make 'Shop All' the primary CTA to let users explore the full range first, with secondary links to Men/Women for those who know their preference. This reduces decision friction and keeps the path open.","Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' CTAs, with no primary/secondary hierarchy; body sample shows 'SHOP MEN SHOP WOMEN' adjacent to the headline. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline is a brand slogan, not a value proposition, failing to address visitor intent.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, causing them to rely on secondary CTAs.","h1: Comfortable Shoes, Naturally Made; cta: Shop Men's Shoes / Shop Women's Shoes; notes: Make the headline concrete and benefit-driven. The CTAs should specify 'Shoes' to match the visitor's intent and reduce ambiguity.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'",Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,No social proof in hero,URGENT,Homepage,Medium,2-5 days,5,10,no,trust,"Hero lacks trust signals, causing hesitation for first-time visitors.","The hero lacks any trust signals (reviews, ratings, or customer count), so first-time visitors may hesitate to explore further.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a line under the CTAs: 'Rated 4.7/5 by 100,000+ happy feet' or a small row of press logos (Vogue, Time, etc.) to build instant credibility.","Hero copy: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' — no review stars, no 'Join 10M+ customers', no press logos.",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_no_social_proof_in_hero.html
4,Free shipping threshold hidden,URGENT,Homepage,Medium,2-5 days,5,10,no,trust,"Free shipping threshold not in hero, causing expectation mismatch.","The homepage promotes 'Free ground shipping on orders over $100' in the top bar, but the hero section does not mention this threshold, potentially causing users to expect free shipping on all orders.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100; cta: SHOP MEN / SHOP WOMEN; notes: Include free shipping threshold in hero to set expectations early.,"Body sample: 'Free ground shipping on orders over $100' appears in the top bar, but the hero headline 'Wildly Comfortable. Super Natural.' and CTAs 'SHOP MEN' and 'SHOP WOMEN' do not reference the threshold.",Pricing Transparency,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,URGENT,Navigation,Medium,2-5 days,5,10,no,conversion,Mega-menu has 20+ items causing choice overload.,"The mega-menu presents 20+ nav items with repeated categories, causing choice overload and decision paralysis.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Consolidate menu to 5-7 top-level categories, use flyout submenus, and remove duplicate entries.","nav_items list contains 20 items including duplicates like 'New Arrivals', 'Bestsellers', 'Men's Shoes', 'Women's Shoes' repeated across sections; body_sample shows extensive menu text repeated multiple times.",Nav & Distraction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_5_mega_menu_choice_overload.html
6,Hidden shipping threshold,URGENT,Product Page,Medium,2-5 days,4,10,no,trust,"Product page lacks shipping cost or threshold info, causing surprise at checkout and increasing abandonment.","The product page does not display the $5 shipping cost or the $100 free-shipping threshold, so users may be surprised at checkout by an unexpected shipping fee, increasing cart abandonment.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a line near the price or CTA: 'Free shipping on orders over $100. Otherwise $5 flat shipping.' This sets expectations early and reduces checkout surprise.,Product page inventory shows no shipping cost or threshold mentioned; only the homepage and collection page display 'Free ground shipping on orders over $100' and 'Shipping $5.00' in the cart drawer.,Funnel-Path & Commerce Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_6_hidden_shipping_threshold.html
7,No visible reviews on product page,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"Product page lacks visible reviews, reducing buyer confidence.","The product page lacks visible review ratings or review count near the price, so buyers may doubt the product's quality and hesitate to purchase.","h1: Anytime Ankle Sock; cta: Get Notified; notes: Add a star rating and review count directly under the product title (e.g., '★★★★★ 1,234 reviews') to leverage social proof and reduce hesitation.","The page has an H2 'Reviews for Anytime Ankle Sock' but the body sample does not show any review stars, review count, or testimonial snippets near the product title or price.",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_7_no_visible_reviews_on_product_page.html
8,Out-of-stock notification without email capture,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"Get Notified CTA may not capture email, missing lead gen.","The 'Get Notified' CTA on the product page may not capture an email, missing a lead generation opportunity for back-in-stock alerts.",h1: Anytime Ankle Sock; cta: Get Notified; notes: Ensure the 'Get Notified' CTA opens an inline email capture form to collect leads for restock alerts.,"The product page for Anytime Ankle Sock has a CTA 'Get Notified' but the forms inventory shows only the newsletter signup form (1 input, 'Sign Up') and no visible email field for stock notifications.",Form / Friction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_8_out_of_stock_notification_without_email_capture.html
9,Email-only signup without incentive,URGENT,Forms & Signup,Medium,2-5 days,3,10,no,conversion,"Email signup lacks incentive, reducing opt-in rates.","The single-field email capture on the homepage lacks a stated incentive or value exchange, which may reduce signup conversion.","h1: Wildly Comfortable. Super Natural.; cta: Get 10% Off Your First Order; notes: Add a clear incentive (e.g., 'Sign up for 10% off') and a privacy note to increase opt-in rates.","The homepage has a form with 1 input and submit button labeled 'Sign Up' under the heading 'Subscribe to our emails'. No incentive (e.g., discount, early access) is mentioned in the body sample.",Form / Friction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_9_email_only_signup_without_incentive.html
10,Controls without accessible names,URGENT,Accessibility,Low,0.5-2 days,2,10,yes,trust,41 unlabelled controls hurt accessibility and usability.,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_10_controls_without_accessible_names.html
